account,broker_name,company_name,listings_url
1593,"vested business brokers, ltd","vested business brokers, ltd",https://www.vestedbb.com/advancesearch/index.html
28149,hedgestone advisors,hedgestone business advisors,https://www.hedgestone.com/businesses-for-sale/
13461,routes for sale®,routes for sale,https://www.routesforsale.net/route-listings.html
20899,ron matheson,websiteclosers.com,https://www.websiteclosers.com/businesses-for-sale/
37203,route consultant,route consultant,https://listings.routeconsultant.com/route-search-results/
38691,alex beringer,"fxg management, inc.",https://fxgcorp.com/buyers
11331,national pool route sales lic re broker ca#01899885 fl#bk33740409,"national pool route sales, llc",https://poolroutesales.com/pool-routes-for-sale/
1153,ubi business brokers,ubi business brokers,https://www.ubibusinessbrokersarizona.com/all-listings
2900,eric gagnon,we sell restaurants,https://www.wesellrestaurants.com/restaurant-for-sale-near-me/All
2408,jeff linda nyman,first choice business brokers,https://fcbb.com/businesses-for-sale?page=1
388,larry bodner,executive business brokers,https://execbb.com/buyer/sub/results.asp?searchtype=incsearch
44749,jim boyd,national industry network business brokers,https://ninbb.com/business-listing/
3477,tom traina,eatz & associates,https://eatz-associates.com/listings/?fwp_status=for-sale%2Cnew-listing%2Cunder-contract%2Cfor-lease
28632,tommy tran,grand realty group,https://restaurantforsales.com/buy-a-restaurant.html
2119,blake taylor,synergy business brokers,https://synergybb.com/businesses-for-sale/
37947,eric espinoza,glb group inc.,https://greenlifebusiness.com/search-result/?keyword=&location-1=&status%5B%5D=for-sale&status%5B%5D=pending&status%5B%5D=sold&sortby=d_date
13582,henry galasso,east coast business brokers,https://www.eastcoastbusinessbrokers.com/index.php?p=search-result
1369,"steven d zimmerman, cbb, m&ami, cbi, fibba",restaurant realty company,https://www.restaurantrealty.com/?ct_ct_status=active&search-listings=true
2212,calhoun companies,calhoun companies,https://www.calhouncompanies.com/find-a-business
21529,goldstar business brokers,goldstar business brokers,https://goldstarbbaz.com/CurrentListings.aspx
8517,nidal saleh,the saleh group re/max preferred group,https://salehgroup.com/business-directory/
